"https://zabgu.ru/php/open_news.php?query=vy'bory'_dekana_fakul'teta&news_page=1&category=1";22 ДЕК 2022;#объявление #выборы ;В ЗабГУ объявлены выборы декана факультета;"В соответствии с Методической инструкцией о порядке выборов декана факультета Забайкальского государственного университета, введённой приказом ректора № 271 от 12.11.2012 г., объявлены выборы декана психолого-педагогического факультета. Квалификационные требования к претенденту на должность декана факультета: наличие высшего образования; стаж научной или научно-педагогической работы – не менее 5 лет; наличие учёной степени или учёного звания. Для участия в выборах кандидатам необходимо представить следующие документы: Заявление на имя и. о. ректора о намерении (согласии) к участию в выборах. Список опубликованных учебных изданий и научных трудов, заверенный в установленном порядке. Выписка о выдвижении кандидатуры. Выписка из решения Учёного совета факультета о рекомендации. Справка об отсутствии судимости. Письменное заявление кандидата с пакетом документов подаётся в Управление кадров до 23 февраля 2023 г. по адресу: г. Чита, ул. Александро-Заводская, д. 30, каб. 211. Выборы декана факультета пройдут на заседании Учёного совета университета 30 марта 2023 г. Телефон для справок: 8 (3022) 21-88-62, и. о. начальника Управления кадров Малеваная Н. А."
"https://zabgu.ru/php/open_news.php?query=pozdravlenie_oksany'_marty'nenko_s_dnyom_zashhitnika_otechestva&news_page=1&category=1";22 ФЕВ 2023;#поздравляем ;С Днём защитника Отечества - поздравление и.о. ректора ЗабГУ Оксаны Мартыненко;"?С Днём защитника Отечества поздравляю всех студентов, преподавателей, сотрудников Забайкальского государственного университета, наших друзей и партнеров! Защищать Родину – большая честь, быть готовым встать на её защиту в любой момент, когда она призовёт - священный долг каждого из нас. Быть надёжной опорой и крепким тылом для своих защитников, верить, любить и ждать их домой с победой – нелёгкая, но почётная доля. Всем Защитникам отечества – здоровья, мужества, упорства и стоикости, удачи и путеводной звезды. Их близким - терпения, сил, твёрдости духа. Всем нам – Победы и непреклонной веры в неё. Мы сильны, когда мы вместе. Дорогие Защитники Отечества! Мы гордимся, что живём рядом с вами! Восхищаемся, верим, переживаем, поддерживаем. Стараемся помогать всем, что в наших силах. С праздником вас! Оксана Мартыненко, и.о. ректора ЗабГУ"
https://zabgu.ru/php/open_news.php?query=vakansii_administrativno-upravlencheskogo_personala&news_page=1&category=1;22 ФЕВ 2023;#объявление ;В ЗабГУ открыты вакансии административно-управленческого персонала;"В ФГБОУ ВО «Забайкальский государственный университет» открыты вакансии отдела по работе с персоналом управления кадров: начальника отдела, главного специалиста, специалиста, документоведа 1 категории. Полный социальный пакет, официальное трудоустройство. Запись на собеседование по телефону: 8(3022) 21-89-17, 21-89-17"
https://zabgu.ru/php/open_news.php?query=andrej_makarov_o_poslanii_prezidenta&news_page=1&category=1;22 ФЕВ 2023;#интересное ;Андрей Макаров о Послании Президента;"21 февраля Общественная палата Забайкальского края провела публичные обсуждения послания Президента России Владимира Путина к Федеральному собранию. В нем приняли участие общественники, краевые и читинские депутаты, уполномоченный по защите прав человека в Забайкалье, представители Федерации профсоюзов края, ветеранские организации, неравнодушные граждане. Модераторами площадки выступили зампред ОП ЗК Андрей Макаров и член ОП РФ и ОП ЗК Анатолий Старостин. Мероприятие прошло на площадке краевой филармонии им. О. Лундстрема. Более 50 участников полностью прослушали послание президента, которое транслировалось в прямом эфире на большом экране. После этого желающие высказали свои мысли относительно представленной директивы. Андрей Макаров о Послании Президента ФС: «Президент дал реальную оценку той ситуации, в которой страна оказалась из-за давления коллективного запада. Послание Президента основывалось на СВО и посвящено решению вопросов связанных с поддержкой, участников, ветеранов СВО, а также их семей. Сегодня мы на этапе интенсивного развития нашего общества и укрепления суверенитета страны. Строить, наращивать производства, укреплять экономику – главные задачи. Государство продолжает курс развития регионов, от которых напрямую зависит будущее нашей Родины. В борьбе с западным режимом мы непременно выстоим и победим»"
"https://zabgu.ru/php/open_news.php?query=murav'ev-amurskij_2030&news_page=1&category=1";20 ФЕВ 2023;#сотрудничество #объявление ;Программа подготовки управленческих кадров «Муравьев-Амурский 2030»;"Приглашаем принять участие в уникальной программе подготовки управленческих кадров для государственной службы «Муравьев-Амурский 2030». Стартует набор на 2 поток практико-ориентированной программы подготовки управленческих кадров «Муравьев-Амурский 2030» (@muramursky2030). Среди ее преимуществ - получение уникальных навыков от наставников программы - руководителей Минвостокразвития России, заместителя полномочного представителя Президента Российской Федерации в ДФО, губернаторов ДФО и ректора ДВФУ. Годовая образовательная программа для второго потока состоит из 7 модулей, с полным погружением в работу государственных структур и регионов ДФО. Обучение на программе бесплатное, по итогам выпускники получат диплом о профессиональной переподготовке Школы управления Сколково, войдут в резерв госслужащих, а также получат предложение о трудоустройстве на госслужбу и институты развития в регионы Дальнего Востока. Требования к участникам: гражданство РФ, возраст от 21 года до 35 лет включительно, высшее образование (магистратура и/или специалитет), готовность к работе на госслужбе. Узнать подробности и отправить заявку на участие в программе можно до 15 марта 2023 года на сайте https://муравьевамурский-2030.рф/. Ссылки на социальные сети программы: https://vk.com/muramursky2030 https://ok.ru/group/59694633910297 https://t.me/muramursky2030"
"https://zabgu.ru/php/open_news.php?query=evrazijskij_mezhdunarodny'j_forum_po_vosstanovitel'noj&news_page=1&category=1";20 ФЕВ 2023;#сотрудничество #анонс #РЦИО ;Сотрудники РЦИО ЗабГУ выступят организаторами Евразийского международного форума...;"4 марта 2023 года в 14.00ч., в онлайн формате, пройдёт Евразийский международный форум по восстановительной медицине - сотрудничество между врачами реабилитологами и физиотерапевтами. Организаторами конференции выступают Региональный центр инклюзивного образования ЗабГУ и Реабилитационный медицинский центр больницы Шэнь Чжэнь Лун Ченг, Китай. В работе конференции примут участие эксперты из 8 стран: России, Китая, Японии, Казахстана, Монголии, Белоруссии, Сербии, Боснии и Герцеговины. Онлайн подключение состоится на площадке VooV Meeting, номер конференции: 472 - 418 - 172, пароль встречи: 03207. Программа форума Участники  По информации РЦИО ЗабГУ"
https://zabgu.ru/php/open_news.php?query=na_ploshhadke_zabgu_proshel_final_finatlona_dlya_starsheklassnikov&news_page=1&category=1;19 ФЕВ 2023;#сотрудничество #абитуриенту ;На площадке ЗабГУ прошел финал Финатлона для старшеклассников;"Второй год Забайкальский государственный университет выступает площадкой очного регионального финала XVIII Всероссийской олимпиады по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг «Финатлон для старшеклассников», который проводился 18 февраля во всех субъектах Российской Федерации. Олимпиада входит в Перечень олимпиад школьников, победители и призеры которых получают льготы при поступлении на программы высшего экономического образования. Ежегодно ЗабГУ принимает большое количество обучащихся образовательных учреждений края. В этом учебном году в финал вышли 37 из 1003 старшеклассников Забайкальского края. С приветственным словом к участникам обратились представители партнеров Олимпиады и нашего университета: Алексей Белобородов, управляющий Отделением по Забайкальскому краю Сибирского главного управления Центрального банка Российской Федерации, и Анна Голышева, заместитель министра финансов Забайкальского края. Также проректор по развитию Ольга Еремеева рассказала ребятам о планах развития университета, а специалисты Центра «Абитуриент» проконсультировали всех желающих по вопросам поступления в ЗабГУ. Финал состоял из трех туров: творческое эссе, письменная работа – решение задач и кейсов, блиц игра - устный ответ на открытый вопрос. Дипломанты «Финатлона для старшеклассников» будут приглашены в Москву и получат возможность посетить Государственную Думу, Совет Федерации, Московскую биржу и головной офис Сбербанка России. Финал был организован факультетом экономики и управления при поддержке регионального отделения Центробанка России, а вот теплую атмосферу и радушный прием обеспечил студенческий волонтерский отряд «Капитал», за что старшеклассники выразили благодарность. В своих отзывах они отметили, что приобрели ценный опыт, новые знания и интересные знакомства.                     Баранова Ольга Александровна, заведующий кафедрой экономики и бухгалтерского учета"
"https://zabgu.ru/php/open_news.php?query=vy'xodny'e_dni_na_sleduyushhej_nedele&news_page=1&category=1";18 ФЕВ 2023;#объявление ;Выходные дни в честь Сагаалгана и Дня защитника Отечества;"Два праздника и целых пять нерабочих дней ожидают нас на предстоящей неделе: • 21 ФЕВРАЛЯ – Сагаалган или праздник Белого месяца – выходной • 23 ФЕВРАЛЯ – День защитника Отечества – выходной • 24, 25, 26 ФЕВРАЛЯ – выходные дни Ждём праздничных мероприятий и готовимся к скорому наступлению весны! "
"https://zabgu.ru/php/open_news.php?query=zabgu_voshyol_v_konsorcium_po_operezhayushhej_podgotovke_kadrov_dlya_gornodoby'vayushhej_otrasli&news_page=1&category=1";18 ФЕВ 2023;#сотрудничество ;ЗабГУ вошёл в консорциум по опережающей подготовке кадров для горнодобывающей отрасли;"14-15 февраля в нашем городе проходила стратегическая сессия «Развитие горного образования на Дальнем Востоке в условиях новых вызовов». В её работе приняли участие министр науки и высшего образования РоссииВалерий Фальков, губернатор Забайкальского края Александр Осипов, представители Корпорации развития Дальнего Востока и Арктики, высших учебных заведений и научных организаций. • Цель консорциума: интеграция образовательных, научных организаций, заинтересованных компаний горной и других отраслей для развития научных исследований и программ подготовки инженеров горнодобывающей промышленности. - В первый день работы стратегической сессии было подписано соглашение между КРДВ и ведущими региональными вузами о создании консорциума «Лидеры горного образования – Дальний Восток». В него вошли вузы Владивостока, Хабаровска, Якутска, Магадана, а также наш Забайкальский госуниверситет. - Во второй день был посвящён обсуждению развития горного образования на Дальнем Востоке в условиях новых вызовов. Представители университетов ДВФО рассказали о текущем состоянии подготовки в своих вузах студентов для работы в горнодобывающей отрасли. Далее участники встречи разделились на группы, в которых обсуждали проблемы и искали решения в вопросах развития образовательных программ, эффективного партнерства с бизнесом и роли университетов в инновационном развитии горной отрасли на Дальнем Востоке. Фото в альбоме  Руслан Лебедев, Пресс-служба ЗабГУ  "
"https://zabgu.ru/php/open_news.php?query=studenty'_yuf_poby'vali_v_izbiratel'noj_komissii_zabajkal'skogo_kraya&news_page=2&category=1";15 ФЕВ 2023;#сотрудничество ;Студенты ЮФ побывали в Избирательной комиссии Забайкальского края;"Дата события: 15 Февраля 2023 00:00    ? 15 февраля студенты Юридического факультета нашего университета побывали в гостях у Избирательной комиссии Забайкальского края Для студентов четвёртого курса провели экскурсию. Они посетили организационный отдел, побеседовали с членом избирательной комиссии Владимиром Николаевичем Дмитриевым и смогли сами в тестовом режиме проверить работу комплекса обработки избирательных бюллетеней – КОИБ. Дни открытых дверей в Избирательной комиссии уже стали традиционным мероприятием для студентов и учащихся всех учебных заведений Забайкальского края. Пресс-служба ЗабГУ    "
